Country,Score
Argentina,8
Bhutan,9
Brazil,8
Burundi,3
Cambodia,11
Cameroon,15
Central African Republic,13
Chile,14
Colombia,16
Costa Rica,15
DR Congo,3
Djibouti,6
El Salvador,6
Ethiopia,18
Guatemala,16
Honduras,15
India,22
Indonesia,10
Kenya,12
Mexico,15
Mozambique,8
Nepal,11
Niue,10
Pakistan,15
Panama,21
Philippines,17
Rwanda,5
Samoa,11
Solomon Islands,15
South Africa,11
Thailand,17
Uganda,24
Vanuatu,18
