Project,Focus,Grant,Cofinancing,Implementing Agencies,Countries,Source,Period,Status,IPLC,Scope
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3022"" target='_blank'>An integrated river basin management approach for the proposed Inambari Dam in Peru</a>",Environmental Conservation,1745495,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1728"" target='_blank'>Rio Negro Basin Conservation Geopolitics II</a>",Environmental Conservation,1776915,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF504"" target='_blank'>Conserving the Montane and Cloud Forests of Northern Peru</a>",Environmental Conservation,1784907,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1432"" target='_blank'>Consolidation of Cordillera Azul National Park, Peru</a>",Environmental Conservation,1800000,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1728.01"" target='_blank'>Protected Area Governance in the Lower Rio Negro</a>",Environmental Conservation,1804385,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,1,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1195"" target='_blank'> target='_blank'>Capacity Building across the Andes</a>",Environmental Conservation,1813081,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF647"" target='_blank'>Large-Scale Biodiversity Conservation Network in the Amazon State</a>",Environmental Conservation,1820000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF331.02"" target='_blank'>Amazon Conservation Landscapes</a>",Environmental Conservation,1824482,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4277.01"" target='_blank'>Territorial Management Planning for Sustainability of the Xingu Mosaic.</a>",Environmental Conservation,1840000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1943"" target='_blank'>Creating New Protected Areas and building local capacity in Peru and Bolivia</a>",Environmental Conservation,1842210,0,,Bolivia,Moore Foundation,,,1,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1728.02"" target='_blank'>Consolidation of Protected Areas in the Lower Rio Negro Mosaic, Brazil</a>",Environmental Conservation,1850000,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1971"" target='_blank'>Interactions Between Climate, Forests, and Land Use in the Amazon Basin: Modeling for Mitigating Large-Scale Savannization</a>",Environmental Conservation,1854036,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF7710"" target='_blank'>Protecting the Amazon from Infrastructure Drivers through Consultation Protocols: The Grain Railway</a>",Environmental Conservation,1872000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3859.01"" target='_blank'>Socio-Environmental Monitoring of the Amazon Basin and Xingu</a>",Environmental Conservation,1900000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF5339"" target='_blank'>Protected Area Consolidation and Integration into Regional Development Planning in the Madidi Tambopata Mosaic</a>",Environmental Conservation,1900000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3116"" target='_blank'>Implementation Capacity for Brazil’s Policy on Territorial Environmental Management</a>",Environmental Conservation,1907199,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3088"" target='_blank'>Incentives for clean beef and soy value chains in Mato Grosso, Brazil</a>",Environmental Conservation,1907319,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF529"" target='_blank'>Building Leadership Capacity for Forest Conservation in the Andes-Amazon Region</a>",Environmental Conservation,1910000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF627.01"" target='_blank'>Implementation of a Regional Conservation and Protected Areas System in Loreto, Peru (PROCREL)</a>",Environmental Conservation,1967922,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3507"" target='_blank'>Consolidation of Putumayo-Amazonas Indigenous Landscape in Loreto, Peru</a>",Environmental Conservation,1974000,0,,Peru,Moore Foundation,,,1,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1640"" target='_blank'>Landscape mosaic of protected areas, indigenous reserves and sustainable use areas in the Sierra del Divisor region, Peru</a>",Environmental Conservation,1982686,0,,Peru,Moore Foundation,,,1,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF428"" target='_blank'>System of Protection of Indigenous Lands</a>",Environmental Conservation,1983620,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,1,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8663"" target='_blank'>
Supporting Stakeholder Participation in Sustainable Development Planning for the BR-319 Region in Amazonas, Brazil</a>",Environmental Conservation,1995000,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF647.01"" target='_blank'>Building a Large-Scale Biodiversity Conservation Network in the State of Amazonas</a>",Environmental Conservation,1997960,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8684"" target='_blank'>
Infrastructure in the Amazon: Transparency and Civil Society Participation in Planning for Environmental Protection</a>",Environmental Conservation,2000000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF5345"" target='_blank'>Consolidation of Indigenous Lands and the Calha Norte Mosaic</a>",Environmental Conservation,2000000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,1,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF76"" target='_blank'>Cordillera Azul National Park</a>",Environmental Conservation,2000000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF2242"" target='_blank'>Enabling the implementation of a REDD program in Peru</a>",Environmental Conservation,2005425,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1963"" target='_blank'>Fire, land use, and the savannization of seasonally-dry Amazon forests</a>",Environmental Conservation,2007879,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1433"" target='_blank'>Sustainable Forest Management in Brazil</a>",Environmental Conservation,2013202,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF7711"" target='_blank'>Scientific Assessment of River Form and Flow: Baseline Information for Infrastructure Guidelines in the Peruvian Amazon</a>",Environmental Conservation,2055000,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF646"" target='_blank'>Large-Scale Biodiversity Conservation Network in the Amazon State</a>",Environmental Conservation,2060000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF503"" target='_blank'>Greater Xingú Complex Conservation</a>",Environmental Conservation,2078000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3506.01"" target='_blank'>Consolidate Manu-Tambopata Conservation Corridor to mitigate forest conversion in Madre de Dios, Peru.</a>",Environmental Conservation,2100000,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3408.02"" target='_blank'>Mainstreaming Innovative Approaches for Protected Area Management in Brazil – Phase III</a>",Environmental Conservation,2108530,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3130"" target='_blank'>Securing the Protected Areas System in the Colombian Amazon</a>",Environmental Conservation,2113125,0,,Colombia,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3113"" target='_blank'>Monitoring deforestation and forest degradation for local and national protected area system and forest management in Mexico.</a>",Environmental Conservation,2118315,0,,Mexico,Moore Foundation,,,1,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3498.01"" target='_blank'>Strengthening Zero-Deforestation Commitments for Beef and Soy in the Brazilian Amazon and Cerrado</a>",Environmental Conservation,2140836,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF464"" target='_blank'>Conserving Forest Landscapes</a>",Environmental Conservation,2190000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4277"" target='_blank'>Integrated Territorial Management of the Xingu Conservation Corridor</a>",Environmental Conservation,2196251,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8662"" target='_blank'>
Understanding Amazon Freshwater Ecosystems through Science and Collaboration at Scale</a>",Environmental Conservation,2200000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3894"" target='_blank'>Durable Protected Area Systems in Peru</a>",Environmental Conservation,2200000,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF5344"" target='_blank'>Implementing Models of Biodiversity Conservation and Management in Wetlands for ARPA</a>",Environmental Conservation,2200000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF2098"" target='_blank'>Enabling the implementation of REDD projects in Colombia</a>",Environmental Conservation,2207572,0,,Colombia,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1900"" target='_blank'>Corridor-based Mitigation of the Inter-Oceanic Highway, Peru</a>",Environmental Conservation,2256244,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF633.01"" target='_blank'>Protected area creation and effective management in South Suriname/Northern Brazil</a>",Environmental Conservation,2278865,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3373"" target='_blank'>Consolidation of the National Forest and Carbon Monitoring System to Support Environmental Policy and Management in Colombia (Phase II)</a>",Environmental Conservation,2299715,0,,Colombia,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF7714"" target='_blank'>Improving Infrastructure Designs for Conservation in the Peruvian and Bolivian Amazon</a>",Environmental Conservation,2300000,0,,Bolivia,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3551"" target='_blank'>Monitoring the Impact of Policies to Reduce Deforestation in the Brazilian Amazon</a>",Environmental Conservation,2314034,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF2089"" target='_blank'>Reducing emissions from Deforestation and Forest Degradation (REDD) in the Bolivian Amazon</a>",Environmental Conservation,2324004,0,,Bolivia,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8658"" target='_blank'>
Conservation of High Biodiversity Mosaics in Bolivia, Peru and Ecuador</a>",Environmental Conservation,2350000,0,,Bolivia,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF366"" target='_blank'>Amazon Headwaters Initiative</a>",Environmental Conservation,2351000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF467"" target='_blank'>Financing Mechanisms for Private Biodiversity Reserves</a>",Environmental Conservation,2371800,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF529.01"" target='_blank'>Amazon Conservation Leadership Initiative (ACLI) Phase II</a>",Environmental Conservation,2373074,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF464.03"" target='_blank'>Reduced vulnerability of Brazilian Protected Areas</a>",Environmental Conservation,2375235,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF2078"" target='_blank'>Human and Institutional Resources for PA Management and Sustainable Forest Use in the Brazilian Amazon</a>",Environmental Conservation,2391731,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF500"" target='_blank'>Conservation of Amazon Aquatic Biodiversity</a>",Environmental Conservation,2397410,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF237"" target='_blank'>ARPA Bridge Funding</a>",Environmental Conservation,2400000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF429.04"" target='_blank'>Socioenvironmental resilience of Brazilian protected areas</a>",Environmental Conservation,2411175,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF530"" target='_blank'>Prioritizing Actions for Biodiversity Protection in the Eastern Slopes of the Peruvian and Bolivian Andes</a>",Environmental Conservation,2430000,0,,Bolivia,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3496"" target='_blank'>Integrated supply chain for responsible beef in São Félix do Xingu, Pará, Brazil.</a>",Environmental Conservation,2461385,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3375"" target='_blank'>Conservation and Sustainable Management of Biodiversity in Loreto, Peru</a>",Environmental Conservation,2477594,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF551"" target='_blank'>Cloud Forest Concession</a>",Environmental Conservation,2487510,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF434.01"" target='_blank'>Indigenous People, Resource Management and Conservation</a>",Environmental Conservation,2490621,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,1,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF302"" target='_blank'>Sierra del Divisor National Park</a>",Environmental Conservation,2499084,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF503.04"" target='_blank'>Xingu Protected Area Mosaic</a>",Environmental Conservation,2500735,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF331.04"" target='_blank'>Protected area monitoring and effective management in Amazon Landscapes</a>",Environmental Conservation,2502935,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3086"" target='_blank'>Biodiversity Monitoring and Management on Indigenous Lands—Northern Pará</a>",Environmental Conservation,2616755,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,1,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1289"" target='_blank'>Osa Peninsula, Costa Rica Land Purchase</a>",Environmental Conservation,2677450,0,,Costa Rica,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF429"" target='_blank'>Rio Negro Basin Protection</a>",Environmental Conservation,2852000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF2372"" target='_blank'>Supporting the adoption of low-emissions land use strategies in Brazil</a>",Environmental Conservation,2883150,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8682"" target='_blank'>
Promoting Transparency and Territorial Governance in the Context of Road Development in the Brazilian Amazon – the Case of BR 319</a>",Environmental Conservation,2992700,0,,Brazil,Moore Foundation,,,1,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF646.01"" target='_blank'>Building a Large-Scale Biodiversity Conservation Network in the State of Amazonas</a>",Environmental Conservation,3126632,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1126"" target='_blank'>Securing Protected Areas in Colombia</a>",Environmental Conservation,3309000,0,,Colombia,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF322"" target='_blank'>SimAmazonia</a>",Environmental Conservation,3317800,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF464.01"" target='_blank'>Consolidation of State Forests and monitoring of protected areas in the Brazilian Amazon</a>",Environmental Conservation,3354998,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF539"" target='_blank'>Education for Nature Program</a>",Environmental Conservation,3457000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF532"" target='_blank'>Capacity Building for Biodiversity Conservation in Brazilian Amazonia</a>",Environmental Conservation,3496000,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF94"" target='_blank'>Los Amigos Conservation Concession</a>",Environmental Conservation,3800000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3372"" target='_blank'>Amazon Headwaters Initiative (Phase IV)</a>",Environmental Conservation,4272740,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF429.01"" target='_blank'>Amazonia Socioambiental: Consolidation of Protected Areas in the Brazilian Amazon</a>",Environmental Conservation,4390438,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF331.05"" target='_blank'>Protected area monitoring and effective management in Amazonian conservation landscapes (Amazon Landscapes Phase IV)</a>",Environmental Conservation,4793230,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF6308"" target='_blank'>Conservation of Andes Amazon Mosaics</a>",Environmental Conservation,5000000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF6318"" target='_blank'>Integrated Legacy of the Amazonian Region - LIRA</a>",Environmental Conservation,5450000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF2162"" target='_blank'>Forever Costa Rica</a>",Environmental Conservation,5500000,0,,Costa Rica,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF331.06"" target='_blank'>Consolidating High Biodiversity Mosaics in the Andean Amazon</a>",Environmental Conservation,6682000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF331.07"" target='_blank'>Consolidation of Andes Amazon Mosaics</a>",Environmental Conservation,6700000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF183.01"" target='_blank'>Amazon Protected Area Project (ARPA) II</a>",Environmental Conservation,7168000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF331.01"" target='_blank'>Biodiversity Protection and Consolidation of Protected Areas in Peru, Brazil, Ecuador, Bolivia and Venezuela.</a>",Environmental Conservation,7681000,0,,Bolivia,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF331"" target='_blank'>Latin America Program</a>",Environmental Conservation,7735965,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1727"" target='_blank'>Amazon Headwaters Initiative (Phase III)</a>",Environmental Conservation,8482083,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF182"" target='_blank'>Science in Action for Conservation</a>",Environmental Conservation,10785000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8683"" target='_blank'>
Peru’s Natural Legacy: Securing the Future of Peru’s Protected Areas</a>",Environmental Conservation,12500000,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4003"" target='_blank'>ARPA for Life Fund Commitment</a>",Environmental Conservation,15000000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF366.01"" target='_blank'>Amazon Headwaters Initiative (Phase II)</a>",Environmental Conservation,15407000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF183"" target='_blank'>Amazon Protected Area Project (ARPA)</a>",Environmental Conservation,15581000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/sustainable-financing-for-palm-oil-pulp-and-paper-sectors/"" target='_blank'>Sustainable financing for palm oil, pulp and paper sectors</a>",,423778.04,0,TuK Indonesia,"Indonesia, West Papua",NICFI,2016-2020,,0,National
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/educating-amazon-peoples-to-defend-own-territories/"" target='_blank'>Educating Amazon peoples to defend own territories</a>",,837920,0,Organisation of the Indigenous Peoples of the Colombian Amazon / Organización de los Pueblos Indígenas de la Amazonia Colombiana (OPIAC),Colombia,NICFI,2016-2020,,1,National
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/leveraging-investor-influence-to-address-deforestation/"" target='_blank'>Leveraging Investor Influence to Address Deforestation</a>",,1106682.84,0,Ceres,"Indonesia, West Papua, Brazil",NICFI,2016-2020,,0,Transnational
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/just-governance-to-address-underlying-causes-of-deforestation/"" target='_blank'>Just governance to address underlying causes of deforestation</a>",,1361620,0,WALHI,"Indonesia, West Papua",NICFI,2016-2020,,1,National
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/advancing-forest-and-redd-related-laws-and-policies/"" target='_blank'>Advancing the Existing Forest and REDD+ Related Laws and Policies for Recovering and Ensuring the Rights of Indigenous Peoples to Land, Territories and Resources in Indonesia</a>",,1466360,0,AMAN,"Indonesia, West Papua",NICFI,2016-2020,,1,National
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/community-rights-and-redd-in-indonesia-moving-from-recognition-to-implementation/"" target='_blank'>Community Rights and REDD+ in Indonesia: Moving from Recognition to Implementation</a>",,1466360,0,Samdhana Institute,"Indonesia, West Papua",NICFI,2016-2020,,1,National
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/developing-a-business-model-for-agricultural-and-forestry-practices/"" target='_blank'>Protection Approach for Landscape Management - PALM</a>",,1780580,0,Climate Policy Initiative (CPI),"Indonesia, West Papua",NICFI,2016-2020,,0,National
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/guiding-stakeholders-in-landscape-processes/"" target='_blank'>Guiding stakeholders in landscape processes</a>",,1885320,0,"Earthworm Foundation (EF, previously The Forest Trust, TFT)","Indonesia, West Papua, Brazil, Peru",NICFI,2016-2020,,0,Transnational
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/involving-communities-to-strengthen-forest-management/"" target='_blank'>Involving communities to strengthen forest management</a>",,2618500,0,The Development Fund Norway (Utviklingsfondet),Ethiopia,NICFI,2016-2020,,1,National
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/unlocking-finance-for-redd-through-research-and-convening/"" target='_blank'>Unlocking Finance for REDD+ Through Research and Convening</a>",,2618500,0,Center for Global Development (CGD),Global,NICFI,2016-2020,,0,National
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/tenure-reforms-accelerated-to-achieve-redd-via-rri-engagement/"" target='_blank'>Accelerating land tenure reforms</a>",,3142200,0,Rights and Resources Initiative (RRI),"Colombia, Indonesia, West Papua, DR Congo, Liberia, Peru",NICFI,2016-2020,,1,Transnational
"<a href=""https://norad.no/en/front/funding/climate-and-forest-initiative-support-scheme/grants-2013-2015/projects/influencing-public-forest-policy-with-evidence-and-data/"" target='_blank'>Influencing public forest policy with evidence and data</a>",,3142200,0,Amazonia Network of Georeferenced Socio-Environmental Information (RAISG),"Ecuador, Colombia, Brazil, Peru",NICFI,2016-2020,,0,Transnational
