Project,Focus,Grant,Cofinancing,Implementing Agencies,Countries,Source,Period,Status,IPLC,Scope
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF435"" target='_blank'>Rio Negro Basin Conservation Geopolitics</a>",Environmental Conservation,865000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1550"" target='_blank'>Consolidation of the Cofan Conservation Program</a>",Environmental Conservation,871840,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8655"" target='_blank'>
An Enduring Regional Conservation System in Loreto, Peru</a>",Environmental Conservation,875000,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3276"" target='_blank'>Brazilian Protected Area Biodiversity Monitoring Program</a>",Environmental Conservation,880000,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF626"" target='_blank'>Andean Forests Conservation Management</a>",Environmental Conservation,899000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3556"" target='_blank'>Improved system-level management of Colombia’s protected areas</a>",Environmental Conservation,901125,0,,Colombia,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1956.02"" target='_blank'>Improving Protected Area Durability by Strengthening Management and Indigenous Capacity in Rondônia, Brazil</a>",Environmental Conservation,905000,0,,Brazil,Moore Foundation,,,1,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8674"" target='_blank'>
Implementation of Peru's Natural Legacy</a>",Environmental Conservation,920000,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF2048.02"" target='_blank'>Integrating Indigenous Knowledge into Land Use Planning in the Colombian Amazon</a>",Environmental Conservation,925000,0,,Colombia,Moore Foundation,,,1,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3507.02"" target='_blank'>Consolidation of the Ampiyacu Mosaic in Loreto, Peru</a>",Environmental Conservation,950000,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF2304"" target='_blank'>Scaling up Conservation Finance</a>",Environmental Conservation,951413,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4276"" target='_blank'>Monitoring protected area implementation and deforestation rates in the Brazilian Amazon</a>",Environmental Conservation,965000,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8657"" target='_blank'>
An Enduring Regional Conservation System in Loreto, Peru</a>",Environmental Conservation,967000,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF8665"" target='_blank'>
Piloting Innovative Road Infrastructure Guidelines</a>",Environmental Conservation,1000000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3275.01"" target='_blank'>Land Management for Conservation and Livelihood of Indigenous People in Brazil’s Calha Norte Mosaic</a>",Environmental Conservation,1000000,0,,Brazil,Moore Foundation,,,1,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3568.01"" target='_blank'>Reducing Deforestation in Key Conservation Mosaics in Colombia and Ecuador</a>",Environmental Conservation,1000000,0,,Colombia,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3898.01"" target='_blank'>Consolidating Indigenous Territories in the Colombian Amazon</a>",Environmental Conservation,1000000,0,,Colombia,Moore Foundation,,,1,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF5340"" target='_blank'>Strengthening Governance in the Chiribiquete-Caquetá (Colombia) and Ampiyacu (Peru) Mosaics.</a>",Environmental Conservation,1000000,0,,Colombia,Moore Foundation,,,1,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF5484"" target='_blank'>Development of a Web-Based Portal to Improve the Management Effectiveness of Brazil’s Amazon Protected Areas</a>",Environmental Conservation,1000000,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3898"" target='_blank'>Reducing Deforestation in the Chiribiquete National Park-Caquetá Mosaic, Colombia</a>",Environmental Conservation,1001250,0,,Colombia,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF627.02"" target='_blank'>Strengthening Conservation and Regional Protected Areas System in Loreto, Peru</a>",Environmental Conservation,1012675,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF1432.02"" target='_blank'>Securing conservation gains and long-term sustainability for Parque Nacional Cordillera Azul in Peru</a>",Environmental Conservation,1013000,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3321.01"" target='_blank'>Completing ARPA Phase II</a>",Environmental Conservation,1013231,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF402"" target='_blank'>Bioacoustics Research Program</a>",Environmental Conservation,1015000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF4635"" target='_blank'>Securing the Future of the National System for Natural Protected Areas of Peru</a>",Environmental Conservation,1029000,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3857"" target='_blank'>Consolidating and disseminating socioeconomic benefits of protected areas</a>",Environmental Conservation,1032000,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF429.05"" target='_blank'>Strengthening monitoring systems to improve management of conservation areas in the Brazilian Amazon</a>",Environmental Conservation,1040000,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF7718"" target='_blank'>Implementing Smart Infrastructure Practices in Peru and Brazil</a>",Environmental Conservation,1081350,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3506"" target='_blank'>Consolidate Manu-Tambopata Conservation Corridor to mitigate forest conversion in Madre de Dios, Peru</a>",Environmental Conservation,1099996,0,,Peru,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF5342"" target='_blank'>Development of a Web-Based Portal to Improve the Management Effectiveness of Brazil’s Amazon Protected Areas</a>",Environmental Conservation,1100000,0,,Brazil,Moore Foundation,,,0,National
"<a href=""https://www.moore.org/grant-detail?grantId=GBMF3859"" target='_blank'>Socio-Environmental Mapping of the Amazon</a>",Environmental Conservation,1116991,0,,"Colombia, Ecuador, Peru, Brazil, Bolivia, Guyana, Suriname",Moore Foundation,,,0,Transnational
